antenna,location,orientation,date_time,call,channel,virtual,frequency,power,noise,snr
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:03.359288,KVOA        ,23,4,524.31,37.00830083120579,36.27666736414176,0.7316334670640288
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:07.369947,KMSB        ,25,11,536.31,45.53387676530224,34.77566208518048,10.75821468012176
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:11.345751,KUAS-TV     ,28,27,554.31,52.648239885843246,50.16601353534427,2.4822263504989763
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:15.205702,KPCE-LD     ,29,29,560.31,43.1046227861951,39.33937194897971,3.7652508372153903
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:19.105508,KUAT-TV     ,30,6,566.31,49.56629906990152,48.24199693184928,1.3243021380522393
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:23.123065,KOLD-TV     ,32,13,578.31,41.52255850743421,35.83211009786447,5.69044840956974
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:27.090989,K35OU-D     ,35,35,596.31,40.95540473520288,39.18315418175605,1.772250553446824
Philips Rabbit Ears,white desk,se-out-flat,2025-03-02 08:16:31.060115,KUVE-CD     ,36,38,602.31,45.82763404985055,43.90917055196682,1.918463497883728
CheapoFlat,white desk,up-w,2025-03-02 08:26:51.518480,KGUN-TV     ,9,9,186.31,57.66002110397984,51.27086642278505,6.389154681194796
CheapoFlat,white desk,up-w,2025-03-02 08:26:55.553626,KOLD-TV     ,13,13,210.31,48.91929104595017,47.199990141075546,1.719300904874622
CheapoFlat,white desk,up-w,2025-03-02 08:26:59.522358,KUDF-LP     ,14,14,470.31,34.29464297945286,32.23000263482627,2.0646403446265893
CheapoFlat,white desk,up-w,2025-03-02 08:27:03.577611,KUDF-LD     ,14,14,470.31,31.64813902977064,27.416160714271,4.231978315499642
CheapoFlat,white desk,up-w,2025-03-02 08:27:07.599641,KHRR        ,16,40,482.31,52.11730394410665,50.70791365078934,1.4093902933173157
CheapoFlat,white desk,up-w,2025-03-02 08:27:11.640955,KFTU-CD     ,18,34,494.31,40.26500929814301,38.16394127175825,2.101068026384766
CheapoFlat,white desk,up-w,2025-03-02 08:27:15.676747,KTTU        ,19,18,500.31,45.24848143328096,37.82677853059901,7.42170290268195
CheapoFlat,white desk,up-w,2025-03-02 08:27:19.722275,KTTU        ,19,18,500.31,44.79198819974423,37.78517543501944,7.006812764724785
CheapoFlat,white desk,up-w,2025-03-02 08:27:23.755945,KVOA        ,23,4,524.31,49.466758162597415,46.62972877055309,2.8370293920443217
CheapoFlat,white desk,up-w,2025-03-02 08:27:27.798239,KMSB        ,25,11,536.31,50.99254276255069,41.76038069637875,9.23216206617193
CheapoFlat,white desk,up-w,2025-03-02 08:27:31.869723,KUAS-TV     ,28,27,554.31,53.47731521309328,50.77469918379571,2.702616029297566
CheapoFlat,white desk,up-w,2025-03-02 08:27:35.950046,KPCE-LD     ,29,29,560.31,46.36956322161203,42.17686396651753,4.192699255094503
CheapoFlat,white desk,up-w,2025-03-02 08:27:40.030607,KUAT-TV     ,30,6,566.31,51.194538543729976,50.29378203295583,0.9007565107741442
CheapoFlat,white desk,up-w,2025-03-02 08:27:44.056282,KOLD-TV     ,32,13,578.31,48.691657666098045,44.57137978459716,4.120277881500883
CheapoFlat,white desk,up-w,2025-03-02 08:27:48.083827,K35OU-D     ,35,35,596.31,43.97190956876611,42.3230590405171,1.648850528249007
CheapoFlat,white desk,up-w,2025-03-02 08:27:52.140954,KUVE-CD     ,36,38,602.31,51.27345641582398,52.00300473325266,-0.7295483174286801
CheapoFlat,white desk,up-n,2025-03-02 08:31:41.631225,KGUN-TV     ,9,9,186.31,55.245517283601295,49.950412950163866,5.295104333437429
CheapoFlat,white desk,up-n,2025-03-02 08:31:45.596400,KOLD-TV     ,13,13,210.31,51.140271933180976,47.78187510176255,3.3583968314184247
CheapoFlat,white desk,up-n,2025-03-02 08:31:49.665975,KUDF-LP     ,14,14,470.31,37.118975433383,33.36766190273998,3.751313530643017
CheapoFlat,white desk,up-n,2025-03-02 08:31:53.597074,KUDF-LD     ,14,14,470.31,36.013706248643864,33.5544648501554,2.459241398488466
CheapoFlat,white desk,up-n,2025-03-02 08:31:57.531203,KHRR        ,16,40,482.31,54.772874941610304,54.49613946028452,0.2767354813257867
CheapoFlat,white desk,up-n,2025-03-02 08:32:01.519944,KFTU-CD     ,18,34,494.31,36.10467027616606,36.0037367392076,0.1009335369584647
CheapoFlat,white desk,up-n,2025-03-02 08:32:05.552109,KTTU        ,19,18,500.31,33.02771787030838,32.26608239195919,0.7616354783491914
CheapoFlat,white desk,up-n,2025-03-02 08:32:09.593557,KTTU        ,19,18,500.31,33.57096598461353,32.31751774169247,1.2534482429210598
CheapoFlat,white desk,up-n,2025-03-02 08:32:13.557042,KVOA        ,23,4,524.31,42.58423243707006,42.45795995656632,0.1262724805037365
CheapoFlat,white desk,up-n,2025-03-02 08:32:17.577235,KMSB        ,25,11,536.31,45.38464518793866,33.929208531365305,11.455436656573356
CheapoFlat,white desk,up-n,2025-03-02 08:32:21.558428,KUAS-TV     ,28,27,554.31,52.72478824932638,50.63183918245201,2.092949066874368
CheapoFlat,white desk,up-n,2025-03-02 08:32:25.545761,KPCE-LD     ,29,29,560.31,48.42603674399845,43.23385139525888,5.192185348739578
CheapoFlat,white desk,up-n,2025-03-02 08:32:29.579234,KUAT-TV     ,30,6,566.31,49.42387896602807,48.60287332156794,0.8210056444601292
CheapoFlat,white desk,up-n,2025-03-02 08:32:33.600285,KOLD-TV     ,32,13,578.31,40.381954247766735,35.9838316889509,4.398122558815835
CheapoFlat,white desk,up-n,2025-03-02 08:32:37.688634,K35OU-D     ,35,35,596.31,41.86441278918725,39.245418700059616,2.618994089127632
CheapoFlat,white desk,up-n,2025-03-02 08:32:41.669849,KUVE-CD     ,36,38,602.31,51.66835008496953,51.28195329722081,0.3863967877487226
CheapoFlat,white desk,e,2025-03-02 09:12:04.720064,KGUN-TV     ,9,9,186.31,56.40751109720877,51.45209253103376,4.9554185661750125
CheapoFlat,white desk,e,2025-03-02 09:12:08.729940,KOLD-TV     ,13,13,210.31,52.10187902102986,48.33973915592093,3.762139865108935
CheapoFlat,white desk,e,2025-03-02 09:12:12.789441,KUDF-LP     ,14,14,470.31,43.20358343676666,38.55136767978849,4.652215756978173
CheapoFlat,white desk,e,2025-03-02 09:12:16.895336,KUDF-LD     ,14,14,470.31,43.47893851986961,38.73011202286309,4.748826497006519
CheapoFlat,white desk,e,2025-03-02 09:12:20.953756,KHRR        ,16,40,482.31,51.90234741624347,52.95796259620371,-1.055615179960235
CheapoFlat,white desk,e,2025-03-02 09:12:24.984242,KFTU-CD     ,18,34,494.31,41.7536436414708,40.24498554916031,1.5086580923104975
CheapoFlat,white desk,e,2025-03-02 09:12:28.965697,KTTU        ,19,18,500.31,48.80036289582871,41.78481102231879,7.015551873509921
CheapoFlat,white desk,e,2025-03-02 09:12:32.840346,KTTU        ,19,18,500.31,49.0358959025588,42.1589046707743,6.876991231784501
CheapoFlat,white desk,e,2025-03-02 09:12:36.676075,KVOA        ,23,4,524.31,46.39107344044503,46.06197597498118,0.3290974654638461
CheapoFlat,white desk,e,2025-03-02 09:12:40.567212,KMSB        ,25,11,536.31,48.80116718348865,39.508603871008006,9.292563312480643
CheapoFlat,white desk,e,2025-03-02 09:12:44.505013,KUAS-TV     ,28,27,554.31,53.05358194417188,50.35336406307492,2.700217881096961
CheapoFlat,white desk,e,2025-03-02 09:12:48.531392,KPCE-LD     ,29,29,560.31,54.26946981258554,48.12006515162343,6.149404660962112
CheapoFlat,white desk,e,2025-03-02 09:12:52.444941,KUAT-TV     ,30,6,566.31,50.91219733476662,49.2866563627918,1.6255409719748144
CheapoFlat,white desk,e,2025-03-02 09:12:56.446562,KOLD-TV     ,32,13,578.31,51.43684049652639,46.17858952578523,5.258250970741159
CheapoFlat,white desk,e,2025-03-02 09:13:00.443089,K35OU-D     ,35,35,596.31,45.22318566509216,43.99225319342679,1.2309324716653691
CheapoFlat,white desk,e,2025-03-02 09:13:04.392181,KUVE-CD     ,36,38,602.31,51.959437730265634,51.81462448601405,0.1448132442515799
CheapoFlat,white desk,s,2025-03-02 09:13:39.938107,KGUN-TV     ,9,9,186.31,57.289155164269616,50.954529870192914,6.334625294076702
CheapoFlat,white desk,s,2025-03-02 09:13:43.827117,KOLD-TV     ,13,13,210.31,51.37578225150321,46.94333800679185,4.432444244711363
CheapoFlat,white desk,s,2025-03-02 09:13:47.751738,KUDF-LP     ,14,14,470.31,33.91288758312861,30.04336192955701,3.8695256535715927
CheapoFlat,white desk,s,2025-03-02 09:13:51.715714,KUDF-LD     ,14,14,470.31,33.934441718355785,29.71906510772186,4.215376610633925
CheapoFlat,white desk,s,2025-03-02 09:13:55.695228,KHRR        ,16,40,482.31,53.75469579928152,53.12146769682071,0.6332281024608051
CheapoFlat,white desk,s,2025-03-02 09:13:59.653030,KFTU-CD     ,18,34,494.31,30.74620812989088,30.540275818404705,0.2059323114861762
CheapoFlat,white desk,s,2025-03-02 09:14:03.638713,KTTU        ,19,18,500.31,44.14225873410994,36.7588331976534,7.383425536456535
CheapoFlat,white desk,s,2025-03-02 09:14:07.548185,KTTU        ,19,18,500.31,44.456787484427984,37.720710317292365,6.736077167135619
CheapoFlat,white desk,s,2025-03-02 09:14:11.412466,KVOA        ,23,4,524.31,42.23741817120303,40.810933330886726,1.4264848403162986
CheapoFlat,white desk,s,2025-03-02 09:14:15.266902,KMSB        ,25,11,536.31,46.74722822015124,39.0696966694746,7.67753155067664
CheapoFlat,white desk,s,2025-03-02 09:14:19.140767,KUAS-TV     ,28,27,554.31,53.31768705149574,51.07202600925399,2.24566104224175
CheapoFlat,white desk,s,2025-03-02 09:14:23.056559,KPCE-LD     ,29,29,560.31,40.11066064108501,39.77594305374245,0.3347175873425598
CheapoFlat,white desk,s,2025-03-02 09:14:26.979718,KUAT-TV     ,30,6,566.31,50.64069652019289,48.491215978393846,2.1494805417990435
CheapoFlat,white desk,s,2025-03-02 09:14:31.051489,KOLD-TV     ,32,13,578.31,33.58113941501632,32.56103652650307,1.0201028885132502
CheapoFlat,white desk,s,2025-03-02 09:14:35.095576,K35OU-D     ,35,35,596.31,31.05679664096342,31.77662077197433,-0.7198241310109061
CheapoFlat,white desk,s,2025-03-02 09:14:39.128875,KUVE-CD     ,36,38,602.31,51.01442501895716,49.07078432248044,1.94364069647672
CheapoFlat,white desk,se,2025-03-02 09:15:12.713945,KGUN-TV     ,9,9,186.31,56.84076019455348,51.02490154143874,5.815858653114745
CheapoFlat,white desk,se,2025-03-02 09:15:16.711182,KOLD-TV     ,13,13,210.31,50.315188529917656,46.29543024673895,4.01975828317871
CheapoFlat,white desk,se,2025-03-02 09:15:20.680222,KUDF-LP     ,14,14,470.31,40.76928839925476,34.878431432267654,5.890856966987101
CheapoFlat,white desk,se,2025-03-02 09:15:24.689180,KUDF-LD     ,14,14,470.31,40.78676385146107,34.68358202589071,6.10318182557036
CheapoFlat,white desk,se,2025-03-02 09:15:28.750636,KHRR        ,16,40,482.31,52.97544670851094,52.88707359563237,0.088373112878564
CheapoFlat,white desk,se,2025-03-02 09:15:32.709334,KFTU-CD     ,18,34,494.31,32.997312118711754,33.82905928154535,-0.8317471628335937
CheapoFlat,white desk,se,2025-03-02 09:15:36.712452,KTTU        ,19,18,500.31,43.90844171459501,37.99343814847524,5.915003566119772
CheapoFlat,white desk,se,2025-03-02 09:15:40.549187,KTTU        ,19,18,500.31,45.52578819546565,38.394365026684966,7.131423168780685
CheapoFlat,white desk,se,2025-03-02 09:15:44.409381,KVOA        ,23,4,524.31,43.6252008815063,43.79509632004025,-0.169895438533949
CheapoFlat,white desk,se,2025-03-02 09:15:48.297021,KMSB        ,25,11,536.31,48.28393799969333,40.76017770070184,7.52376029899149
CheapoFlat,white desk,se,2025-03-02 09:15:52.138584,KUAS-TV     ,28,27,554.31,52.98452295918239,50.63468232773007,2.349840631452324
CheapoFlat,white desk,se,2025-03-02 09:15:56.037903,KPCE-LD     ,29,29,560.31,42.632458543127214,40.070506435148445,2.561952107978769
CheapoFlat,white desk,se,2025-03-02 09:15:59.883893,KUAT-TV     ,30,6,566.31,50.9127558705584,49.023370234337065,1.8893856362213344
CheapoFlat,white desk,se,2025-03-02 09:16:03.720132,KOLD-TV     ,32,13,578.31,41.61362941969443,37.94657141605111,3.6670580036433273
CheapoFlat,white desk,se,2025-03-02 09:16:07.616433,K35OU-D     ,35,35,596.31,42.26295218144512,40.68032795673648,1.5826242247086384
CheapoFlat,white desk,se,2025-03-02 09:16:11.430543,KUVE-CD     ,36,38,602.31,46.81117671519241,47.952906504799465,-1.141729789607055
ChannelMaster Flat,white desk,up-w,2025-03-02 09:18:43.876642,KGUN-TV     ,9,9,186.31,58.46821302202524,50.94229187187759,7.525921150147646
ChannelMaster Flat,white desk,up-w,2025-03-02 09:18:47.806122,KOLD-TV     ,13,13,210.31,58.39883923303319,50.8799907760593,7.518848456973885
ChannelMaster Flat,white desk,up-w,2025-03-02 09:18:51.640710,KUDF-LP     ,14,14,470.31,24.43332000356332,23.54069608330945,0.8926239202538682
ChannelMaster Flat,white desk,up-w,2025-03-02 09:18:55.538789,KUDF-LD     ,14,14,470.31,23.483614494766503,23.19569357757757,0.2879209171889343
ChannelMaster Flat,white desk,up-w,2025-03-02 09:18:59.437055,KHRR        ,16,40,482.31,55.473011423819365,54.25936146459843,1.2136499592209375
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:03.351276,KFTU-CD     ,18,34,494.31,34.49186955041042,32.418958519850364,2.072911030560057
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:07.321070,KTTU        ,19,18,500.31,39.221486147925006,33.46748652384953,5.753999624075476
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:11.230858,KTTU        ,19,18,500.31,39.9882494372232,34.253120783299146,5.735128653924058
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:15.063523,KVOA        ,23,4,524.31,44.13258742630407,42.507069852492656,1.6255175738114147
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:18.892749,KMSB        ,25,11,536.31,48.14337471152582,39.26125526408687,8.882119447438953
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:22.694706,KUAS-TV     ,28,27,554.31,52.56227189574156,50.32081082270177,2.241461073039787
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:26.436781,KPCE-LD     ,29,29,560.31,46.4679805767481,41.60240065491069,4.8655799218374085
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:30.334562,KUAT-TV     ,30,6,566.31,51.38590511391855,49.913557446124905,1.4723476677936418
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:34.257052,KOLD-TV     ,32,13,578.31,43.77995544743624,39.3012205345663,4.478734912869939
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:38.262875,K35OU-D     ,35,35,596.31,43.517891892408,41.66404834488757,1.8538435475204336
ChannelMaster Flat,white desk,up-w,2025-03-02 09:19:42.296315,KUVE-CD     ,36,38,602.31,44.52071831163677,40.9606615181634,3.560056793473372
ChannelMaster Flat,white desk,up-n,2025-03-02 09:25:41.998521,KGUN-TV     ,9,9,186.31,58.476613738286616,51.74378420488616,6.732829533400455
ChannelMaster Flat,white desk,up-n,2025-03-02 09:25:45.924280,KOLD-TV     ,13,13,210.31,57.35638007680824,50.31041015915261,7.045969917655626
ChannelMaster Flat,white desk,up-n,2025-03-02 09:25:49.829488,KUDF-LP     ,14,14,470.31,31.24321357532309,29.066057294819167,2.1771562805039224
ChannelMaster Flat,white desk,up-n,2025-03-02 09:25:53.815293,KUDF-LD     ,14,14,470.31,29.84573070605357,29.29783636073074,0.5478943453228275
ChannelMaster Flat,white desk,up-n,2025-03-02 09:25:57.751354,KHRR        ,16,40,482.31,53.93604787260811,54.0837586783501,-0.147710805741994
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:01.792968,KFTU-CD     ,18,34,494.31,40.24124738967849,38.27364117730485,1.9676062123736384
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:05.755972,KTTU        ,19,18,500.31,43.61818583922599,37.86601178821659,5.752174051009398
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:09.760896,KTTU        ,19,18,500.31,43.78559446925336,37.99197157367974,5.793622895573613
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:13.814585,KVOA        ,23,4,524.31,44.82247169543918,42.56502339863148,2.257448296807695
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:17.780417,KMSB        ,25,11,536.31,46.056535426731074,37.6685517920718,8.387983634659278
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:21.795306,KUAS-TV     ,28,27,554.31,53.65522308344943,51.04959471200854,2.6056283714408863
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:25.790754,KPCE-LD     ,29,29,560.31,45.38416625305795,41.71072846181844,3.673437791239508
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:29.788117,KUAT-TV     ,30,6,566.31,51.30504745950685,49.76600359307603,1.5390438664308237
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:33.768274,KOLD-TV     ,32,13,578.31,42.31741349213971,37.22554989190506,5.091863600234646
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:37.769841,K35OU-D     ,35,35,596.31,43.82356167477703,42.31669846857055,1.506863206206475
ChannelMaster Flat,white desk,up-n,2025-03-02 09:26:41.803215,KUVE-CD     ,36,38,602.31,51.48619205840991,48.8527384740853,2.633453584324606
ChannelMaster Flat,white desk,e,2025-03-02 09:30:14.712995,KGUN-TV     ,9,9,186.31,58.96623669856992,51.52178433288458,7.444452365685336
ChannelMaster Flat,white desk,e,2025-03-02 09:30:18.688845,KOLD-TV     ,13,13,210.31,58.9739449787934,51.7063694441436,7.267575534649794
ChannelMaster Flat,white desk,e,2025-03-02 09:30:22.739094,KUDF-LP     ,14,14,470.31,47.14003581775495,40.26964874088493,6.870387076870017
ChannelMaster Flat,white desk,e,2025-03-02 09:30:26.782292,KUDF-LD     ,14,14,470.31,47.29581128826909,39.77632519071008,7.51948609755901
ChannelMaster Flat,white desk,e,2025-03-02 09:30:30.759441,KHRR        ,16,40,482.31,53.28141041058005,53.33585231243619,-0.0544419018561441
ChannelMaster Flat,white desk,e,2025-03-02 09:30:34.783348,KFTU-CD     ,18,34,494.31,39.63807656656575,38.82080312513455,0.8172734414312046
ChannelMaster Flat,white desk,e,2025-03-02 09:30:38.755591,KTTU        ,19,18,500.31,48.764388784523895,45.56162790468967,3.202760879834223
ChannelMaster Flat,white desk,e,2025-03-02 09:30:42.821309,KTTU        ,19,18,500.31,47.448287606167405,45.36008444629664,2.088203159870765
ChannelMaster Flat,white desk,e,2025-03-02 09:30:46.930297,KVOA        ,23,4,524.31,46.9396501509378,43.43373068746904,3.5059194634687643
ChannelMaster Flat,white desk,e,2025-03-02 09:30:51.024168,KMSB        ,25,11,536.31,48.5321757728845,33.223298403652265,15.308877369232237
ChannelMaster Flat,white desk,e,2025-03-02 09:30:55.015642,KUAS-TV     ,28,27,554.31,54.631289916262894,51.33667893399589,3.294610982267009
ChannelMaster Flat,white desk,e,2025-03-02 09:30:59.009178,KPCE-LD     ,29,29,560.31,47.62864964268898,44.16318263923071,3.46546700345828
ChannelMaster Flat,white desk,e,2025-03-02 09:31:03.002855,KUAT-TV     ,30,6,566.31,51.54268353148848,50.27270283170077,1.269980699787709
ChannelMaster Flat,white desk,e,2025-03-02 09:31:07.016435,KOLD-TV     ,32,13,578.31,49.1877141948368,43.968359920574926,5.219354274261875
ChannelMaster Flat,white desk,e,2025-03-02 09:31:11.084507,K35OU-D     ,35,35,596.31,46.28280586911698,44.740239026417335,1.5425668426996424
ChannelMaster Flat,white desk,e,2025-03-02 09:31:15.094846,KUVE-CD     ,36,38,602.31,51.41486763187103,50.80350599970471,0.6113616321663145
ChannelMaster Flat,white desk,s,2025-03-02 09:31:45.173207,KGUN-TV     ,9,9,186.31,57.280503166101866,51.65717862405292,5.623324542048948
ChannelMaster Flat,white desk,s,2025-03-02 09:31:49.251078,KOLD-TV     ,13,13,210.31,57.904475432870825,49.43941710681719,8.465058326053637
ChannelMaster Flat,white desk,s,2025-03-02 09:31:53.278038,KUDF-LP     ,14,14,470.31,31.477388933338137,27.492477368791377,3.98491156454676
ChannelMaster Flat,white desk,s,2025-03-02 09:31:57.314329,KUDF-LD     ,14,14,470.31,32.557358058412746,27.750922423424832,4.806435634987913
ChannelMaster Flat,white desk,s,2025-03-02 09:32:01.336605,KHRR        ,16,40,482.31,53.64088376827105,53.79577759824812,-0.1548938299770625
ChannelMaster Flat,white desk,s,2025-03-02 09:32:05.385011,KFTU-CD     ,18,34,494.31,29.570653894670464,27.319067953293228,2.251585941377236
ChannelMaster Flat,white desk,s,2025-03-02 09:32:09.452529,KTTU        ,19,18,500.31,46.58470824584709,41.58999987977274,4.994708366074349
ChannelMaster Flat,white desk,s,2025-03-02 09:32:13.484612,KTTU        ,19,18,500.31,45.49422348516192,41.68223607702372,3.811987408138201
ChannelMaster Flat,white desk,s,2025-03-02 09:32:17.506975,KVOA        ,23,4,524.31,44.10484187278654,42.1249078272569,1.9799340455296388
ChannelMaster Flat,white desk,s,2025-03-02 09:32:21.475802,KMSB        ,25,11,536.31,48.39996183249666,39.30764074126379,9.092321091232868
ChannelMaster Flat,white desk,s,2025-03-02 09:32:25.536489,KUAS-TV     ,28,27,554.31,52.96077835139518,50.82263792389912,2.1381404274960616
ChannelMaster Flat,white desk,s,2025-03-02 09:32:29.557153,KPCE-LD     ,29,29,560.31,41.29798393448583,39.528899498942536,1.7690844355432915
ChannelMaster Flat,white desk,s,2025-03-02 09:32:33.585578,KUAT-TV     ,30,6,566.31,50.54231336266104,46.62876118910638,3.913552173554656
ChannelMaster Flat,white desk,s,2025-03-02 09:32:37.624813,KOLD-TV     ,32,13,578.31,32.04107675462004,29.69202376038916,2.349052994230874
ChannelMaster Flat,white desk,s,2025-03-02 09:32:41.636488,K35OU-D     ,35,35,596.31,33.33062258739485,34.50850671042916,-1.1778841230343104
ChannelMaster Flat,white desk,s,2025-03-02 09:32:45.700416,KUVE-CD     ,36,38,602.31,52.22039925763751,50.59290855590496,1.6274907017325546
ChannelMaster Flat,white desk,se,2025-03-02 09:33:08.648428,KGUN-TV     ,9,9,186.31,58.38625152511744,51.41372637564554,6.972525149471899
ChannelMaster Flat,white desk,se,2025-03-02 09:33:12.736611,KOLD-TV     ,13,13,210.31,57.275703683031075,51.28785175250431,5.987851930526766
ChannelMaster Flat,white desk,se,2025-03-02 09:33:16.733505,KUDF-LP     ,14,14,470.31,43.64512189026528,37.637253696495435,6.007868193769845
ChannelMaster Flat,white desk,se,2025-03-02 09:33:20.794354,KUDF-LD     ,14,14,470.31,40.967070518751825,38.23296382056803,2.734106698183794
ChannelMaster Flat,white desk,se,2025-03-02 09:33:24.747766,KHRR        ,16,40,482.31,53.38899105923722,52.92588727040521,0.463103788832008
ChannelMaster Flat,white desk,se,2025-03-02 09:33:28.747979,KFTU-CD     ,18,34,494.31,40.633417273795594,39.07476634486743,1.5586509289281665
ChannelMaster Flat,white desk,se,2025-03-02 09:33:32.798823,KTTU        ,19,18,500.31,53.838523070968414,46.79726612206963,7.041256948898784
ChannelMaster Flat,white desk,se,2025-03-02 09:33:36.911086,KTTU        ,19,18,500.31,52.11538408711933,47.99951928766022,4.115864799459111
ChannelMaster Flat,white desk,se,2025-03-02 09:33:41.023829,KVOA        ,23,4,524.31,44.17777122278482,45.21646500778471,-1.038693784999893
ChannelMaster Flat,white desk,se,2025-03-02 09:33:45.120783,KMSB        ,25,11,536.31,50.46626666958976,46.056635269412496,4.409631400177261
ChannelMaster Flat,white desk,se,2025-03-02 09:33:49.183281,KUAS-TV     ,28,27,554.31,53.93953344619988,50.80144787035904,3.13808557584084
ChannelMaster Flat,white desk,se,2025-03-02 09:33:53.236843,KPCE-LD     ,29,29,560.31,55.37166471533644,48.523121704969675,6.848543010366768
ChannelMaster Flat,white desk,se,2025-03-02 09:33:57.239314,KUAT-TV     ,30,6,566.31,46.37185600549969,45.3919533900725,0.9799026154271857
ChannelMaster Flat,white desk,se,2025-03-02 09:34:01.272574,KOLD-TV     ,32,13,578.31,46.81471427299095,40.79006548395546,6.0246487890354885
ChannelMaster Flat,white desk,se,2025-03-02 09:34:05.320778,K35OU-D     ,35,35,596.31,42.1488582239008,40.100593100669855,2.048265123230948
ChannelMaster Flat,white desk,se,2025-03-02 09:34:09.294094,KUVE-CD     ,36,38,602.31,50.88579692535755,50.40727062564598,0.4785262997115751
